Cle,CoApplicantName-NomCoApplicant,CoAppOrganizationID,CoAppInstitution-…tablissement,ProvinceEN,ProvinceFR,CountryEN,CountryFR,FiscalYear-Exercice financier
476344,"Leroy, Claude",63,UniversitÈ de MontrÈal,QuÈbec,QuÈbec,CANADA,CANADA,2011
476344,"Trischuk, William",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2011
475901,"Orr, Robert",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2011
483926,"Leroy, Claude",63,UniversitÈ de MontrÈal,QuÈbec,QuÈbec,CANADA,CANADA,2011
483926,"Orr, Robert",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2011
476344,"Gingrich, Douglas",9,University of Alberta,Alberta,Alberta,CANADA,CANADA,2011
476344,"Warburton, Andreas",61,McGill University,QuÈbec,QuÈbec,CANADA,CANADA,2011
476344,"Corriveau, Francois",61,McGill University,QuÈbec,QuÈbec,CANADA,CANADA,2011
476344,"Axen, David",2,University of British Columbia,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
476344,"Moore, Roger",9,University of Alberta,Alberta,Alberta,CANADA,CANADA,2011
476344,"Vachon, Brigitte",61,McGill University,QuÈbec,QuÈbec,CANADA,CANADA,2011
476344,"Pinfold, James",9,University of Alberta,Alberta,Alberta,CANADA,CANADA,2011
476344,"Robertson, Steven",61,McGill University,QuÈbec,QuÈbec,CANADA,CANADA,2011
476344,"Gay, Colin",2,University of British Columbia,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
483103,"Warburton, Andreas",61,McGill University,QuÈbec,QuÈbec,CANADA,CANADA,2011
483103,"Gay, Colin",2,University of British Columbia,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
483103,"Vachon, Brigitte",61,McGill University,QuÈbec,QuÈbec,CANADA,CANADA,2011
483103,"Gingrich, Douglas",9,University of Alberta,Alberta,Alberta,CANADA,CANADA,2011
483103,"Corriveau, Francois",61,McGill University,QuÈbec,QuÈbec,CANADA,CANADA,2011
483103,"Axen, David",2,University of British Columbia,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
483103,"Moore, Roger",9,University of Alberta,Alberta,Alberta,CANADA,CANADA,2011
483103,"Pinfold, James",9,University of Alberta,Alberta,Alberta,CANADA,CANADA,2011
483103,"Robertson, Steven",61,McGill University,QuÈbec,QuÈbec,CANADA,CANADA,2011
483926,"Vachon, Brigitte",61,McGill University,QuÈbec,QuÈbec,CANADA,CANADA,2011
483926,"Gingrich, Douglas",9,University of Alberta,Alberta,Alberta,CANADA,CANADA,2011
