"ID","MK-ID","community","count","inCore","info","betweenness"
"Egghe L, 2012, SCIENTOMETRICS","WOS:000301188500021",6,9,True,"WOS:000301188500021, Egghe Leo, Theory and practice of the shifted Lotka function, SCIENTOMETRICS, 91, 295",0.001
"Bornmann L, 2012, J INFORMETR","WOS:000301364100017",1,44,True,"WOS:000301364100017, Bornmann Lutz, The new Excellence Indicator in the World Report of the SCImago Institutions Rankings 2011, JOURNAL OF INFORMETRICS, 6, 333",0.022
"Levitt Jm, 2010, SCIENTOMETRICS","WOS:000280947400013",2,7,True,"WOS:000280947400013, Levitt Jonathan M., Does the higher citation of collaborative research differ from region to region? A case study of Economics, SCIENTOMETRICS, 85, 171",0.001
"Vinluan Lr, 2012, SCIENTOMETRICS","WOS:000301188500020",7,6,True,"WOS:000301188500020, Vinluan Lorelei R., Research productivity in education and psychology in the Philippines and comparison with ASEAN countries, SCIENTOMETRICS, 91, 277",0.001
"Shapiro Ma, 2012, SCIENTOMETRICS","WOS:000297708000016",8,5,True,"WOS:000297708000016, Shapiro Matthew A., Regional development in South Korea: accounting for research area in centrality and networks, SCIENTOMETRICS, 90, 271",0.0
"Hagen Nt, 2010, SCIENTOMETRICS","WOS:000282048200015",5,17,True,"WOS:000282048200015, Hagen Nils T., Deconstructing doctoral dissertations: how many papers does it take to make a PhD?, SCIENTOMETRICS, 85, 567",0.013
"Choi S, 2011, SCIENTOMETRICS","WOS:000294839700011",3,6,True,"WOS:000294839700011, Choi Sungchul, SAO network analysis of patents for technology trends identification: a case study of polymer electrolyte membrane technology in proton exchange membrane fuel cells, SCIENTOMETRICS, 88, 863",0.003
"Vinkler P, 2012, SCIENTOMETRICS","WOS:000306547000025",2,5,True,"WOS:000306547000025, Vinkler Peter, The Garfield impact factor one of the fundamental indicators in scientometrics, SCIENTOMETRICS, 92, 471",0.002
"Su C, 2011, J INFORMETR","WOS:000285626000001",2,1,True,"WOS:000285626000001, Su Cheng, PrestigeRank: A new evaluation method for papers and journals, JOURNAL OF INFORMETRICS, 5, 1",0.0
"Vinkler P, 2011, J AM SOC INF SCI TEC","WOS:000291953800019",4,19,True,"WOS:000291953800019, Vinkler Peter, Scientometrics and Scientometricians in 2011, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 62, 1430",0.002
"Fabrikant Si, 2010, J AM SOC INF SCI TEC","WOS:000274038400003",7,2,True,"WOS:000274038400003, Fabrikant Sara Irina, The Natural Landscape Metaphor in Information Visualization: The Role of Commonsense Geomorphology, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 61, 253",0.0
"Callahan A, 2010, J AM SOC INF SCI TEC","WOS:000277892600005",10,6,True,"WOS:000277892600005, Callahan Alison, Contextual Cocitation: Augmenting Cocitation Analysis and its Applications, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 61, 1130",0.0
"Bar-Ilan J, 2010, SCIENTOMETRICS","WOS:000277418400016",11,22,True,"WOS:000277418400016, Bar-Ilan Judit, Web of Science with the Conference Proceedings Citation Indexes: the case of computer science, SCIENTOMETRICS, 83, 809",0.032
"Vinkler P, 2013, J AM SOC INF SCI TEC","WOS:000325930600018",6,1,True,"WOS:000325930600018, Vinkler Peter, Quantity and impact through a single indicator, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 64, 1084",0.0
"Delanghe H, 2011, SCIENTOMETRICS","WOS:000289106900013",1,4,True,"WOS:000289106900013, Delanghe Henri, European research policy and bibliometric indicators 1990-2005, SCIENTOMETRICS, 87, 389",0.0
"Wang Jc, 2010, SCIENTOMETRICS","WOS:000280274400012",8,7,True,"WOS:000280274400012, Wang Jyun-Cheng, Network structure of innovation: can brokerage or closure predict patent quality?, SCIENTOMETRICS, 84, 735",0.008
"Bookstein Fl, 2010, SCIENTOMETRICS","WOS:000280947400021",14,3,True,"WOS:000280947400021, Bookstein Fred L., Too much noise in the Times Higher Education rankings, SCIENTOMETRICS, 85, 295",0.0
"Franceschini F, 2011, SCIENTOMETRICS","WOS:000292210200018",11,13,True,"WOS:000292210200018, Franceschini Fiorenzo, Proposals for evaluating the regularity of a scientist's research output, SCIENTOMETRICS, 88, 279",0.002
"Zitt M, 2012, SCIENTOMETRICS","WOS:000306547000026",2,4,True,"WOS:000306547000026, Zitt Michel, The journal impact factor: angel devil or scapegoat? A comment on J.K. Vanclay's article 2011, SCIENTOMETRICS, 92, 485",0.0
"Todeschini R, 2011, SCIENTOMETRICS","WOS:000289792600012",5,5,True,"WOS:000289792600012, Todeschini Roberto, The j-index: a new bibliometric index and multivariate comparisons between other common indices, SCIENTOMETRICS, 87, 621",0.0
"Onel S, 2011, SCIENTOMETRICS","WOS:000294839200006",5,5,True,"WOS:000294839200006, Onel Selen, The structure and analysis of nanotechnology co-author and citation networks, SCIENTOMETRICS, 89, 119",0.0
"Marsh Hw, 2011, J INFORMETR","WOS:000285626000013",4,4,True,"WOS:000285626000013, Marsh Herbert W., Gender differences in peer reviews of grant applications: A substantive-methodological synergy in support of the null hypothesis model, JOURNAL OF INFORMETRICS, 5, 167",0.006
"Norris M, 2010, J INFORMETR","WOS:000278543600002",11,6,True,"WOS:000278543600002, Norris Michael, Peer review and the h-index: Two studies, JOURNAL OF INFORMETRICS, 4, 221",0.006
"Waltman L, 2013, SCIENTOMETRICS","WOS:000323437400004",1,5,True,"WOS:000323437400004, Waltman Ludo, Source normalized indicators of citation impact: an overview of different approaches and an empirical comparison, SCIENTOMETRICS, 96, 699",0.0
"Mccain Kw, 2012, J AM SOC INF SCI TEC","WOS:000310550000001",1,4,True,"WOS:000310550000001, McCain Katherine W., Assessing Obliteration by Incorporation: Issues and Caveats, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 63, 2129",0.0
"Bougrine H, 2014, SCIENTOMETRICS","WOS:000330622600016",5,2,True,"WOS:000330622600016, Bougrine Hassan, Subfield effects on the core of coauthors, SCIENTOMETRICS, 98, 1047",0.0
"Albarran P, 2010, SCIENTOMETRICS","WOS:000280947400024",1,6,True,"WOS:000280947400024, Albarran Pedro, A comparison of the scientific performance of the US and the European union at the turn of the 21st century, SCIENTOMETRICS, 85, 329",0.0
"Lariviere V, 2012, J AM SOC INF SCI TEC","WOS:000303500300010",7,9,True,"WOS:000303500300010, Lariviere Vincent, A bibliometric chronicling of library and information science's first hundred years, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 63, 997",0.004
"Shelton Rd, 2012, J AM SOC INF SCI TEC","WOS:000301038300006",4,3,True,"WOS:000301038300006, Shelton R. D., Publish or Patent: Bibliometric Evidence For Empirical Trade-Offs in National Funding Strategies, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 63, 498",0.0
"Abbasi A, 2011, J INFORMETR","WOS:000296524200011",7,16,True,"WOS:000296524200011, Abbasi Alireza, Identifying the effects of co-authorship networks on the performance of scholars: A correlation and regression analysis of performance measures and social network analysis measures, JOURNAL OF INFORMETRICS, 5, 594",0.019
"Waltman L, 2011, J INFORMETR","WOS:000285626000004",4,65,True,"WOS:000285626000004, Waltman Ludo, Towards a new crown indicator: Some theoretical considerations, JOURNAL OF INFORMETRICS, 5, 37",0.047
